Account #	Customer Balance	Pers Prop Pin #
6340	          $0.00	2018-1295
6340	          $0.00	2018-447
6341	          $0.00	2018-2392
6341	          $0.00	2018-2148
6341	          $0.00	2018-1266
6345	          $0.00	2018-1671
6345	          $0.00	2018-237
6346	         $89.20	2018-44
6348	         $32.76	2018-1846
6348	         $32.76	2018-1775
6348	         $32.76	2018-1711
6348	         $32.76	2018-1370
6349	         $99.18	2018-1712
6349	         $99.18	2018-717
6349	         $99.18	2018-70
6354	          $3.08	2018-2398
6355	         $18.54	2018-2083
6355	         $18.54	2018-2058
6355	         $18.54	2018-1672
6358	         $19.35	2018-728
6366	          $0.00	2018-1899
6367	          $0.00	2018-1880
6367	          $0.00	2018-1275
6367	          $0.00	2018-342
6368	          $6.37	2018-1981
6369	          $0.00	2018-1629
6369	          $0.00	2018-1133
6371	        $243.78	2018-542
6375	         $14.75	2018-2633
6375	         $14.75	2018-2223
6375	         $14.75	2018-1604
6378	          $2.80	2018-2405
6380	         $48.55	2018-714
6380	         $48.55	2018-426
6383	         $30.27	2018-1413
6383	         $30.27	2018-707
6390	         $25.16	2018-505
6397	         $40.66	2018-2412
6397	         $40.66	2018-1937
6397	         $40.66	2018-1851
6397	         $40.66	2018-1597
6397	         $40.66	2018-1219
6400	         $79.89	2018-67
6401	          $0.00	2018-1722
6406	         $93.91	2018-979
6406	         $93.91	2018-715
6406	         $93.91	2018-142
6408	         $50.73	2018-2416
6408	         $50.73	2018-756
6408	         $50.73	2018-531
6411	          $0.00	2018-320
6413	        $102.29	2018-385
6417	          $0.00	2018-640
6418	          $9.24	2018-1637
6432	         $33.46	2018-2015
6432	         $33.46	2018-1779
6432	         $33.46	2018-666
6434	          $0.00	2018-2101
6434	          $0.00	2018-1565
6434	          $0.00	2018-1302
6436	          $9.60	2018-1492
6439	          $0.00	2018-2202
6439	          $0.00	2018-1927
6439	          $0.00	2018-757
6445	         $20.88	2018-765
6450	          $0.00	2018-2427
6450	          $0.00	2018-1375
6455	        $125.33	2018-154
6461	         $21.10	2018-746
6462	          $0.00	2018-1183
6463	          $0.00	2018-1450
6463	          $0.00	2018-1430
6463	          $0.00	2018-563
6464	          $0.00	2018-2433
6602	         $37.58	2018-868
6602	         $37.58	2018-867
6711	         $53.69	2018-1250
6711	         $53.69	2018-1224
6713	         $63.12	2018-1904
6715	          $5.92	2018-2040
6718	          $6.53	2018-1954
6721	         $17.78	2018-814
6723	         $14.01	2018-2656
6723	         $14.01	2018-2159
6723	         $14.01	2018-1703
6725	        $927.45	2018-23
6729	          $0.00	2018-986
6729	          $0.00	2018-273
6733	         $49.92	2018-1912
6733	         $49.92	2018-213
6737	          $0.00	2018-1545
6737	          $0.00	2018-1363
6737	          $0.00	2018-1265
6737	          $0.00	2018-1077
6737	          $0.00	2018-372
6738	         $17.86	2018-934
6747	         $16.74	2018-1804
6747	         $16.74	2018-1486
6748	         $79.13	2018-2042
6753	          $0.00	2018-674
6753	          $0.00	2018-334
6758	         $67.91	2018-1362
6762	         $31.23	2018-2119
6762	         $31.23	2018-1476
6762	         $31.23	2018-937
6764	          $0.00	2018-2384
6769	         $15.25	2018-1114
6777	          $0.00	2018-2612
6777	          $0.00	2018-1474
6777	          $0.00	2018-1468
6783	          $0.00	2018-946
6784	          $0.00	2018-1708
6784	          $0.00	2018-409
6784	          $0.00	2018-114
6785	          $0.00	2018-314
6788	          $0.00	2018-2166
6788	          $0.00	2018-614
6791	          $0.00	2018-272
6793	          $0.00	2018-2219
6793	          $0.00	2018-2063
6793	          $0.00	2018-2001
6802	          $0.00	2018-1441
6802	          $0.00	2018-156
6806	         $45.55	2018-2210
6806	         $45.55	2018-950
6806	         $45.55	2018-628
6807	         $86.79	2018-1628
6808	         $-0.82	2018-2630
6808	         $-0.82	2018-1770
6808	         $-0.82	2018-1589
6810	        $116.99	2018-1771
6810	        $116.99	2018-803
6822	          $0.00	2018-266
6826	         $49.78	2018-1774
6826	         $49.78	2018-258
6827	         $77.15	2018-2373
6827	         $77.15	2018-2005
6828	         $30.09	2018-453
6835	         $54.95	2018-2574
6835	         $54.95	2018-2274
6835	         $54.95	2018-1875
6835	         $54.95	2018-1022
6840	        $132.93	2018-1171
6843	          $0.00	2018-1289
6853	        $120.41	2018-1005
6862	          $0.00	2018-2592
6862	          $0.00	2018-2232
6862	          $0.00	2018-1191
6866	          $0.00	2018-1246
6869	          $0.00	2018-212
6873	         $58.74	2018-2321
6873	         $58.74	2018-1206
6873	         $58.74	2018-844
6873	         $58.74	2018-690
6884	         $22.50	2018-2669
6884	         $22.50	2018-2668
6884	         $22.50	2018-2655
6884	         $22.50	2018-2637
6885	         $90.33	2018-2535
6885	         $90.33	2018-1340
6889	          $0.00	2018-2256
6889	          $0.00	2018-1208
6891	          $0.00	2018-2510
6891	          $0.00	2018-1063
6894	          $0.00	2018-1223
6894	          $0.00	2018-267
6903	         $44.23	2018-2631
6903	         $44.23	2018-2296
6905	        $131.68	2018-2443
6905	        $131.68	2018-2287
6905	        $131.68	2018-1556
6907	          $0.00	2018-2500
6907	          $0.00	2018-1649
6914	         $-6.39	2018-2484
6914	         $-6.39	2018-1342
6919	        $281.28	2018-2252
6919	        $281.28	2018-1200
6919	        $281.28	2018-1016
6920	          $0.00	2018-2240
6921	         $33.18	2018-2194
6921	         $33.18	2018-1382
6921	         $33.18	2018-1011
6923	        $106.05	2018-2454
6923	        $106.05	2018-2409
6923	        $106.05	2018-1477
6928	        $242.32	2018-2501
6928	        $242.32	2018-1562
6928	        $242.32	2018-1162
6929	         $21.07	2018-2502
6929	         $21.07	2018-1742
6930	          $3.78	2018-2273
6931	        $113.78	2018-2579
6931	        $113.78	2018-2013
6931	        $113.78	2018-1977
6940	         $13.96	2018-2537
6940	         $13.96	2018-2414
6940	         $13.96	2018-1563
6942	          $0.00	2018-2085
6942	          $0.00	2018-1924
6942	          $0.00	2018-1298
6946	          $0.00	2018-815
6949	          $0.00	2018-985
6955	         $31.67	2018-2233
6955	         $31.67	2018-2163
6955	         $31.67	2018-553
6956	        $105.31	2018-2116
6956	        $105.31	2018-1925
6961	        $103.22	2018-2289
6961	        $103.22	2018-1598
6963	        $282.07	2018-1122
6963	        $282.07	2018-726
6970	         $28.74	2018-1244
6979	          $0.00	2018-695
6987	          $0.00	2018-1226
6987	          $0.00	2018-711
6987	          $0.00	2018-351
6990	          $0.00	2018-1301
6990	          $0.00	2018-676
6990	          $0.00	2018-657
6994	          $0.00	2018-1888
6994	          $0.00	2018-1857
7003	        $136.22	2018-1829
7003	        $136.22	2018-13
7007	          $3.25	2018-1720
7007	          $3.25	2018-802
7008	          $0.00	2018-1241
7009	          $9.33	2018-1614
7010	          $0.00	2018-2257
7022	        $122.00	2018-2616
7022	        $122.00	2018-2197
7022	        $122.00	2018-1568
7028	         $50.51	2018-141
7029	         $23.63	2018-2114
7029	         $23.63	2018-775
7032	         $48.35	2018-2211
7032	         $48.35	2018-1861
7034	          $0.00	2018-1350
7034	          $0.00	2018-759
7113	         $24.92	2018-510
7115	          $0.00	2018-1994
7115	          $0.00	2018-1032
7115	          $0.00	2018-672
7116	          $0.00	2018-2475
7116	          $0.00	2018-1831
7117	         $74.78	2018-63
7118	          $0.00	2018-2242
7118	          $0.00	2018-2050
7118	          $0.00	2018-1992
7119	         $47.70	2018-1869
7119	         $47.70	2018-1525
7119	         $47.70	2018-450
7128	          $0.00	2018-2121
7128	          $0.00	2018-396
7128	          $0.00	2018-328
7131	         $26.76	2018-529
7132	         $57.72	2018-602
7132	         $57.72	2018-289
7134	         $12.52	2018-1236
7137	          $0.00	2018-1911
7137	          $0.00	2018-329
7137	          $0.00	2018-233
7138	          $0.00	2018-1252
7138	          $0.00	2018-797
7144	          $9.18	2018-2189
7144	          $9.18	2018-2088
7148	         $77.92	2018-1803
7148	         $77.92	2018-91
7150	        $387.49	2018-2648
7150	        $387.49	2018-826
7150	        $387.49	2018-332
7151	         $82.24	2018-1021
7151	         $82.24	2018-569
7154	         $-0.10	2018-151
7154	         $-0.10	2018-35
7157	         $59.11	2018-1878
7157	         $59.11	2018-626
7160	         $65.66	2018-2494
7160	         $65.66	2018-1753
7160	         $65.66	2018-1517
7160	         $65.66	2018-1305
7167	          $0.00	2018-777
7167	          $0.00	2018-136
7168	         $79.81	2018-1473
7182	        $211.92	2018-189
7182	        $211.92	2018-404
7185	          $9.02	2018-2496
7185	          $9.02	2018-2582
7185	          $9.02	2018-1823
7186	         $19.96	2018-1724
7186	         $19.96	2018-1253
7187	         $21.20	2018-2027
7187	         $21.20	2018-977
7192	          $0.00	2018-2450
7192	          $0.00	2018-961
7197	         $53.08	2018-2622
7197	         $53.08	2018-2547
7197	         $53.08	2018-1499
7197	         $53.08	2018-236
7200	        $114.04	2018-518
7206	        $171.86	2018-1322
7206	        $171.86	2018-1272
7209	         $68.77	2018-2556
7209	         $68.77	2018-336
7209	         $68.77	2018-316
7210	         $14.41	2018-1179
7216	         $28.89	2018-479
7218	         $56.81	2018-1500
7218	         $56.81	2018-158
7219	         $62.06	2018-2522
7219	         $62.06	2018-2006
7220	          $0.00	2018-2375
7220	          $0.00	2018-1590
7220	          $0.00	2018-1501
7221	          $0.00	2018-2653
7222	          $0.00	2018-2024
7226	        $191.45	2018-2378
7226	        $191.45	2018-1917
7226	        $191.45	2018-1240
7228	         $17.25	2018-1688
7228	         $17.25	2018-1528
7231	          $0.00	2018-2075
7231	          $0.00	2018-656
7232	         $17.13	2018-2509
7235	          $2.13	2018-2532
7239	         $84.84	2018-2476
7239	         $84.84	2018-559
7241	          $0.00	2018-1023
7241	          $0.00	2018-431
7243	          $7.50	2018-2320
7243	          $7.50	2018-2146
7244	         $47.63	2018-571
7244	         $47.63	2018-511
7249	          $0.00	2018-2661
7249	          $0.00	2018-2483
7249	          $0.00	2018-2130
7249	          $0.00	2018-1668
7252	          $7.17	2018-1876
7256	         $14.85	2018-2330
7256	         $14.85	2018-1396
7257	         $81.34	2018-858
7259	          $0.00	2018-2649
7260	        $114.01	2018-2131
7260	        $114.01	2018-1796
7260	        $114.01	2018-1325
7260	        $114.01	2018-49
7264	        $-69.19	2018-1755
7264	        $-69.19	2018-1405
7267	        $141.29	2018-1847
7267	        $141.29	2018-1569
7272	         $27.65	2018-2069
7272	         $27.65	2018-1529
7272	         $27.65	2018-1397
7274	         $48.91	2018-1701
7278	          $0.00	2018-638
7278	          $0.00	2018-239
7278	          $0.00	2018-127
7278	          $0.00	2018-123
7279	          $0.00	2018-1942
7279	          $0.00	2018-111
7282	         $55.37	2018-2488
7282	         $55.37	2018-2010
7284	          $5.60	2018-2012
7291	         $11.03	2018-2302
7291	         $11.03	2018-1714
7293	        $648.30	2018-1850
7293	        $648.30	2018-1108
7293	        $648.30	2018-914
7293	        $648.30	2018-345
7295	         $19.78	2018-744
7299	          $0.00	2018-675
7299	          $0.00	2018-296
7304	          $0.00	2018-678
7305	         $30.31	2018-2271
7305	         $30.31	2018-537
7306	          $0.00	2018-1854
7306	          $0.00	2018-924
7314	         $10.11	2018-2560
7314	         $10.11	2018-1506
7316	          $0.00	2018-2585
7316	          $0.00	2018-1113
7316	          $0.00	2018-390
7317	          $0.00	2018-1896
7324	         $36.84	2018-1698
7324	         $36.84	2018-497
7325	         $10.40	2018-2609
7325	         $10.40	2018-2608
7325	         $10.40	2018-2607
7325	         $10.40	2018-2606
7325	         $10.40	2018-2605
7325	         $10.40	2018-2604
7325	         $10.40	2018-2603
7325	         $10.40	2018-2602
7330	          $0.00	2018-849
7331	          $0.00	2018-2019
7331	          $0.00	2018-1260
7334	         $66.05	2018-80
7335	        $332.26	2018-2017
7335	        $332.26	2018-864
7335	        $332.26	2018-863
7335	        $332.26	2018-525
7340	          $0.00	2018-2654
7347	          $0.00	2018-2272
7348	         $85.96	2018-1570
7354	          $7.12	2018-2317
7354	          $7.12	2018-2279
7355	          $0.00	2018-2192
7355	          $0.00	2018-779
7371	      $1,735.89	2018-249
7452	          $4.14	2018-2188
7453	          $0.00	2018-2154
7453	          $0.00	2018-1738
7455	          $0.00	2018-2216
7457	         $59.94	2018-120
7460	        $299.10	2018-225
7468	         $38.05	2018-1306
7469	         $15.01	2018-2624
7469	         $15.01	2018-1091
7471	          $0.00	2018-588
7475	         $77.87	2018-564
7480	         $91.35	2018-2346
7480	         $91.35	2018-1471
7480	         $91.35	2018-397
7481	          $0.00	2018-2347
7488	          $0.00	2018-1767
7491	          $0.00	2018-1218
7493	          $0.00	2018-1004
7494	        $728.03	2018-30
7497	         $46.51	2018-1392
7497	         $46.51	2018-277
7499	          $0.00	2018-1456
7501	          $0.00	2018-2514
7502	          $4.55	2018-2190
7503	         $45.40	2018-1972
7504	          $0.00	2018-2600
7504	          $0.00	2018-2591
7504	          $0.00	2018-652
7504	          $0.00	2018-651
7507	          $0.00	2018-2546
7509	          $0.00	2018-2515
7510	         $17.24	2018-1693
7511	          $0.00	2018-1366
7511	          $0.00	2018-393
7516	          $4.65	2018-2625
7516	          $4.65	2018-2276
7517	        $728.03	2018-31
7519	          $0.00	2018-1071
7520	          $0.00	2018-2029
7520	          $0.00	2018-1039
7521	          $0.00	2018-823
7524	         $38.59	2018-1352
7528	         $56.95	2018-131
7529	          $0.00	2018-1497
7529	          $0.00	2018-853
7533	          $0.00	2018-2077
7533	          $0.00	2018-921
7534	         $45.00	2018-173
7539	         $21.84	2018-605
7540	         $28.52	2018-2495
7540	         $28.52	2018-575
7541	          $0.00	2018-402
7544	        $728.03	2018-32
7548	          $0.00	2018-2662
7549	          $0.00	2018-2573
7549	          $0.00	2018-370
7551	        $405.36	2018-132
7555	         $13.24	2018-1161
7559	         $12.47	2018-1327
7563	        $633.39	2018-46
7564	         $64.91	2018-1403
7565	          $0.09	2018-1104
7568	         $27.36	2018-1973
7569	        $149.69	2018-729
7569	        $149.69	2018-122
7569	        $149.69	2018-60
7573	         $22.29	2018-2236
7575	        $277.92	2018-275
7576	          $0.00	2018-1916
7576	          $0.00	2018-1481
7577	        $205.09	2018-325
7582	          $0.00	2018-1317
7585	          $5.82	2018-2508
7585	          $5.82	2018-2307
7588	          $0.00	2018-1130
7590	          $0.00	2018-2155
7590	          $0.00	2018-1956
7592	          $0.00	2018-1406
7592	          $0.00	2018-774
7593	         $10.28	2018-2179
7593	         $10.28	2018-1945
7595	         $75.81	2018-285
7597	         $56.95	2018-133
7608	         $23.55	2018-551
7609	         $48.47	2018-149
7611	          $0.00	2018-741
7612	        $136.40	2018-838
7615	          $7.95	2018-1696
7616	        $169.90	2018-10
7617	        $424.32	2018-196
7617	        $424.32	2018-150
7618	        $258.94	2018-326
7628	         $50.85	2018-139
7630	        $-43.98	2018-1207
7633	         $10.20	2018-2239
7633	         $10.20	2018-2008
7634	         $42.08	2018-866
7634	         $42.08	2018-636
7636	         $-0.12	2018-1463
7637	         $17.30	2018-848
7645	         $17.11	2018-2098
7645	         $17.11	2018-1270
7647	          $8.62	2018-1710
7648	          $5.24	2018-2127
7651	        $115.25	2018-1038
7656	        $137.08	2018-1503
7656	        $137.08	2018-1006
7658	          $1.69	2018-984
7663	          $0.00	2018-2599
7665	         $99.19	2018-153
7667	          $0.00	2018-1982
7668	         $86.79	2018-2128
7668	         $86.79	2018-1812
7669	          $0.00	2018-1419
7669	          $0.00	2018-582
7670	          $0.00	2018-323
7673	         $12.22	2018-2474
7673	         $12.22	2018-1479
7674	          $0.00	2018-260
7675	         $64.02	2018-1308
7675	         $64.02	2018-809
7675	         $64.02	2018-302
7685	          $0.00	2018-244
7687	         $79.07	2018-1491
7687	         $79.07	2018-75
7690	         $12.24	2018-2195
7690	         $12.24	2018-1676
7692	         $29.51	2018-1329
7697	         $15.15	2018-1019
7698	          $4.50	2018-2201
7701	         $20.61	2018-662
7705	         $10.00	2018-1453
7708	        $155.96	2018-1203
7708	        $155.96	2018-1014
7714	         $22.36	2018-1429
7719	          $0.00	2018-2645
7719	          $0.00	2018-821
7719	          $0.00	2018-12
7719	          $0.00	2018-6
7720	         $62.52	2018-502
7721	         $45.46	2018-230
7723	        $152.69	2018-1227
7723	        $152.69	2018-1157
7724	         $29.11	2018-478
7725	          $0.00	2018-1137
7725	          $0.00	2018-474
7725	          $0.00	2018-2
7731	          $8.46	2018-1617
7738	         $21.90	2018-709
7740	          $6.25	2018-1989
7741	          $0.00	2018-1097
7743	         $49.03	2018-146
7746	         $56.95	2018-134
7747	          $0.00	2018-2544
7747	          $0.00	2018-1729
7747	          $0.00	2018-1608
7747	          $0.00	2018-955
7754	          $7.05	2018-1889
7760	          $0.00	2018-406
7934	        $233.88	2018-1929
7934	        $233.88	2018-224
7935	          $0.00	2018-1959
7937	         $86.48	2018-2477
7937	         $86.48	2018-1205
7939	         $61.93	2018-1470
7941	         $81.24	2018-1782
7941	         $81.24	2018-1635
7941	         $81.24	2018-1531
7942	          $0.00	2018-1138
7943	         $96.94	2018-26
7945	          $0.00	2018-2140
7950	         $11.20	2018-2152
7950	         $11.20	2018-1858
7951	         $20.08	2018-696
7952	          $2.50	2018-2471
7953	        $138.85	2018-1507
7953	        $138.85	2018-702
7953	        $138.85	2018-303
7954	          $0.00	2018-387
7958	         $17.71	2018-1780
7958	         $17.71	2018-1585
7960	         $32.28	2018-371
7963	        $101.08	2018-22
7968	          $0.00	2018-1852
7968	          $0.00	2018-243
7969	          $0.00	2018-745
7970	        $280.33	2018-2551
7970	        $280.33	2018-1794
7970	        $280.33	2018-1401
7970	        $280.33	2018-910
7970	        $280.33	2018-488
7973	         $47.65	2018-2014
7973	         $47.65	2018-1154
7973	         $47.65	2018-530
7977	         $30.15	2018-1448
7977	         $30.15	2018-846
7978	         $90.67	2018-513
7982	         $95.21	2018-2324
7982	         $95.21	2018-1121
7985	         $26.34	2018-507
7988	         $47.34	2018-1082
7990	          $0.00	2018-1656
7991	          $0.00	2018-2214
7991	          $0.00	2018-108
7998	         $57.54	2018-1523
7999	        $269.91	2018-217
8003	          $0.00	2018-2099
8003	          $0.00	2018-1536
8010	          $0.00	2018-2137
8010	          $0.00	2018-1445
8010	          $0.00	2018-978
8012	         $17.39	2018-2067
8012	         $17.39	2018-1268
8015	          $0.00	2018-1096
8016	         $71.70	2018-2463
8016	         $71.70	2018-1521
8018	         $17.40	2018-2581
8018	         $17.40	2018-971
8019	          $0.00	2018-2314
8022	        $119.76	2018-734
8023	          $0.00	2018-1754
8023	          $0.00	2018-1175
8025	          $0.00	2018-2529
8025	          $0.00	2018-492
8025	          $0.00	2018-477
8027	          $7.02	2018-2528
8027	          $7.02	2018-2527
8027	          $7.02	2018-2526
8028	          $0.00	2018-2191
8028	          $0.00	2018-940
8030	          $0.00	2018-2549
8030	          $0.00	2018-1190
8034	          $2.34	2018-2524
8035	        $155.90	2018-506
8038	         $27.93	2018-1273
8039	        $129.89	2018-624
8043	         $23.60	2018-2199
8043	         $23.60	2018-843
8044	         $19.26	2018-1520
8045	          $1.96	2018-2557
8046	        $105.55	2018-1948
8046	        $105.55	2018-1256
8050	         $42.73	2018-223
8051	        $114.04	2018-790
8053	         $31.02	2018-1112
8053	         $31.02	2018-1079
8055	          $0.00	2018-2506
8057	          $0.00	2018-1538
8058	          $0.00	2018-2312
8058	          $0.00	2018-601
8061	          $0.00	2018-1843
8061	          $0.00	2018-1432
8061	          $0.00	8061-A
8061	          $0.00	8061-B
8063	         $57.24	2018-949
8063	         $57.24	2018-263
8068	          $0.00	2018-783
8068	          $0.00	2018-319
8074	          $0.00	2018-1144
8074	          $0.00	2018-89
8076	         $26.56	2018-2445
8076	         $26.56	2018-2284
8076	         $26.56	2018-1882
8078	         $64.26	2018-904
8078	         $64.26	2018-155
8079	          $0.00	2018-2164
8079	          $0.00	2018-1267
8085	        $-12.27	2018-2627
8085	        $-12.27	2018-1041
8085	        $-12.27	2018-174
8088	          $0.00	2018-1056
8089	         $33.39	2018-2044
8093	          $0.35	2018-2663
8096	         $90.42	2018-1769
8096	         $90.42	2018-1639
8096	         $90.42	2018-375
8096	         $90.42	2018-292
8097	         $20.21	2018-792
8100	         $28.76	2018-427
8101	        $218.71	2018-2246
8101	        $218.71	2018-1835
8101	        $218.71	2018-486
8102	         $18.05	2018-1651
8103	          $9.02	2018-1540
8105	          $0.00	2018-226
8107	          $0.00	2018-1646
8107	          $0.00	2018-719
8110	         $19.91	2018-703
8115	         $69.07	2018-1336
8116	         $60.48	2018-2267
8118	          $0.00	2018-216
8121	          $0.00	2018-1003
8126	         $32.22	2018-1686
8126	         $32.22	2018-1661
8126	         $32.22	2018-1165
8127	         $61.73	2018-412
8129	         $46.96	2018-2293
8129	         $46.96	2018-1644
8129	         $46.96	2018-1192
8131	         $71.12	2018-84
8132	         $16.57	2018-1766
8132	         $16.57	2018-1715
8133	          $0.00	2018-2513
8135	         $16.50	2018-1018
8143	          $0.00	2018-1180
8147	         $37.44	2018-1833
8147	         $37.44	2018-1388
8148	          $0.00	2018-623
8152	          $0.00	2018-2297
8152	          $0.00	2018-1832
8153	         $50.63	2018-1504
8153	         $50.63	2018-274
8175	         $-0.12	2018-763
8243	         $82.64	2018-2647
8243	         $82.64	2018-1757
8264	      $1,503.84	8264-2018
8275	          $0.00	2018-2028
8278	         $69.72	2018-2037
8278	         $69.72	2018-1433
8279	          $0.00	2018-2338
8279	          $0.00	2018-1910
8280	        $-12.52	2018-2203
8281	         $22.20	2018-591
8283	         $38.83	2018-1681
8284	          $8.51	2018-1613
8288	         $19.58	2018-2318
8288	         $19.58	2018-1939
8291	          $0.00	2018-2181
8295	         $59.53	2018-1577
8295	         $59.53	2018-750
8297	          $0.00	2018-1117
8297	          $0.00	2018-902
8299	          $0.00	2018-1075
8301	          $0.50	2018-861
8303	          $0.00	2018-65
8304	          $0.00	2018-1995
8304	          $0.00	2018-251
8304	          $0.00	2018-41
8307	         $58.58	2018-533
8307	         $58.58	2018-416
8310	         $15.29	2018-1009
8311	          $0.00	2018-1906
8311	          $0.00	2018-1704
8311	          $0.00	2018-1140
8312	         $77.94	2018-56
8313	         $20.13	2018-1602
8313	         $20.13	2018-1314
8314	          $9.05	2018-1657
8315	         $25.76	2018-2143
8315	         $25.76	2018-2062
8315	         $25.76	2018-1131
8316	          $0.00	2018-246
8318	        $111.33	2018-2105
8318	        $111.33	2018-255
8319	          $0.00	2018-1997
8319	          $0.00	2018-78
8321	          $0.00	2018-2124
8321	          $0.00	2018-1622
8322	        $107.52	2018-164
8325	          $1.74	2018-2564
8329	          $0.00	2018-2135
8330	         $15.78	2018-2177
8330	         $15.78	2018-1438
8331	          $0.00	2018-608
8333	         $23.58	2018-2117
8333	         $23.58	2018-1913
8333	         $23.58	2018-1225
8339	          $0.00	2018-743
8341	        $220.04	2018-165
8342	          $0.00	2018-1092
8344	          $0.00	2018-1376
8346	          $5.21	2018-2072
8347	          $0.00	2018-1579
8349	          $0.00	2018-1592
8350	         $17.05	2018-1717
8351	        $362.06	2018-57
8355	         $45.50	2018-1745
8355	         $45.50	2018-315
8356	          $0.00	2018-1098
8356	          $0.00	2018-600
8360	          $0.00	2018-2461
8360	          $0.00	2018-2437
8360	          $0.00	2018-536
8361	         $31.87	2018-2165
8361	         $31.87	2018-523
8363	          $6.72	2018-1838
8364	         $81.00	2018-1489
8364	         $81.00	2018-413
8364	         $81.00	2018-300
8366	         $25.56	2018-527
8374	          $9.88	2018-1462
8378	        $168.51	2018-58
8379	          $0.00	2018-2002
8379	          $0.00	2018-1367
8380	          $0.00	2018-2186
8381	        $116.15	2018-126
8382	          $0.00	2018-1237
8383	          $0.00	2018-1057
8384	         $33.26	2018-1147
8384	         $33.26	2018-906
8385	          $0.00	2018-1386
8387	          $5.15	2018-2136
8389	         $30.37	2018-448
8391	          $0.00	2018-1262
8391	          $0.00	2018-166
8393	         $88.08	2018-466
8397	          $0.00	2018-2205
8397	          $0.00	2018-1048
8398	         $23.71	2018-2055
8398	         $23.71	2018-938
8399	          $0.00	2018-1884
8399	          $0.00	2018-1773
8399	          $0.00	2018-1354
8400	          $6.19	2018-1907
8402	         $28.48	2018-429
8404	          $0.00	2018-2073
8406	         $18.85	2018-1594
8407	         $29.67	2018-1940
8407	         $29.67	2018-565
8410	          $0.00	2018-1404
8411	         $15.88	2018-963
8412	         $14.25	2018-1182
8413	          $0.00	2018-748
8414	         $14.44	2018-1172
8416	         $10.44	2018-1510
8418	          $0.00	2018-1443
8418	          $0.00	2018-1120
8421	        $114.73	2018-532
8422	         $76.75	2018-1311
8427	          $0.00	2018-1279
8428	         $10.22	2018-1427
8432	          $0.00	2018-2086
8432	          $0.00	2018-1070
8432	          $0.00	2018-827
8432	          $0.00	2018-771
8435	         $15.88	2018-964
8436	          $0.00	2018-1684
8436	          $0.00	2018-761
8437	          $0.00	2018-1081
8438	         $52.09	2018-1361
8440	        $106.23	2018-2326
8440	        $106.23	2018-648
8441	          $0.00	2018-2018
8441	          $0.00	2018-922
8444	          $9.25	2018-2397
8445	         $19.66	2018-2082
8445	         $19.66	2018-1062
8447	         $15.68	2018-1090
8452	         $20.87	2018-1752
8452	         $20.87	2018-1283
8453	         $28.76	2018-428
8454	         $59.11	2018-1920
8454	         $59.11	2018-1826
8456	         $23.66	2018-1810
8456	         $23.66	2018-1673
8456	         $23.66	2018-1612
8457	          $0.00	2018-1734
8457	          $0.00	2018-373
8458	          $0.00	2018-2499
8458	          $0.00	2018-359
8458	          $0.00	2018-340
8462	         $19.08	2018-1587
8463	         $43.67	2018-1532
8467	         $12.88	2018-1198
8468	          $0.00	2018-720
8468	          $0.00	2018-545
8471	         $10.87	2018-1464
8475	         $-2.82	2018-691
8481	         $73.87	2018-1944
8481	         $73.87	2018-1414
8483	          $0.00	2018-945
8485	         $53.14	2018-2151
8485	         $53.14	2018-1109
8485	         $53.14	2018-297
8488	          $0.00	2018-61
8489	         $24.52	2018-589
8495	         $19.21	2018-2538
8495	         $19.21	2018-870
8497	          $0.00	2018-2421
8498	          $0.00	2018-1632
8498	          $0.00	2018-1084
8499	         $22.04	2018-597
8503	          $0.00	2018-1800
8504	         $11.80	2018-2444
8504	         $11.80	2018-1449
8505	         $87.66	2018-1723
8505	         $87.66	2018-1300
8510	        $362.06	2018-59
8512	        $-33.67	2018-1524
8513	         $71.44	2018-1928
8513	         $71.44	2018-82
8514	         $-7.28	2018-1781
8517	         $33.11	2018-2168
8517	         $33.11	2018-493
8518	          $0.00	2018-655
8524	          $8.54	2018-1716
8525	          $0.00	2018-599
8526	          $9.21	2018-1533
8529	         $29.76	2018-1087
8531	         $15.71	2018-1088
8533	          $0.00	2018-424
8536	         $-1.81	2018-1242
8537	         $29.54	2018-2316
8537	         $29.54	2018-2278
8578	         $19.37	2018-828
8579	        $298.77	2018-683
8634	          $0.00	2018-386
8635	         $11.33	2018-1418
8637	         $54.02	2018-956
8638	          $0.00	2018-2104
8638	          $0.00	2018-1830
8639	         $48.05	2018-214
8640	          $0.00	2018-2512
8640	          $0.00	2018-1620
8641	          $0.00	2018-876
8643	          $0.00	2018-1695
8644	          $0.00	2018-650
8646	          $0.00	2018-780
8647	         $18.24	2018-2298
8647	         $18.24	2018-2051
8649	          $0.00	2018-1248
8649	          $0.00	2018-1076
8651	        $175.16	2018-1496
8651	        $175.16	2018-1251
8651	        $175.16	2018-646
8651	        $175.16	2018-419
8651	        $175.16	2018-253
8651	        $175.16	2018-147
8654	         $20.47	2018-1591
8654	         $20.47	2018-1459
8655	          $0.00	2018-2254
8658	         $12.36	2018-2041
8658	         $12.36	2018-1969
8659	          $9.04	2018-2344
8660	         $24.00	2018-538
8661	          $0.00	2018-357
8662	          $0.00	2018-1461
8664	          $0.00	2018-1067
8665	          $0.00	2018-1947
8666	         $51.67	2018-2218
8666	         $51.67	2018-1309
8667	         $20.85	2018-2228
8667	         $20.85	2018-1020
8668	          $0.00	2018-2262
