Account #	Customer Balance	Pers Prop Pin #
1289	         $25.49	2018-498
1299	          $0.00	2018-2402
1305	          $0.00	2018-1541
1313	          $0.00	2018-1811
1313	          $0.00	2018-1638
1313	          $0.00	2018-1167
1318	          $0.00	2018-454
1340	        $190.16	2018-2404
1347	         $55.61	2018-2406
1350	         $25.82	2018-1247
1350	         $25.82	2018-1153
1357	          $0.00	2018-2288
1357	          $0.00	2018-1416
1357	          $0.00	2018-1126
1375	         $75.34	2018-778
1375	         $75.34	2018-143
1379	         $19.04	2018-755
1384	         $18.29	2018-918
1385	          $0.00	2018-680
1386	          $0.00	2018-2667
1386	          $0.00	2018-2660
1386	          $0.00	2018-2652
1386	          $0.00	2018-15
1390	         $15.68	2018-2570
1390	         $15.68	2018-2000
1390	         $15.68	2018-1626
1393	          $0.00	2018-2011
1393	          $0.00	2018-1201
1393	          $0.00	2018-1132
1394	          $0.00	2018-2618
1397	          $0.00	2018-2410
1408	      $1,734.75	2018-2306
1416	          $0.00	2018-2442
1425	          $0.00	2018-1024
1425	          $0.00	2018-346
1447	         $59.15	2018-2411
1478	          $0.00	2018-2415
1480	         $26.60	2018-2417
1485	          $0.00	2018-2275
1488	         $19.53	2018-2419
1501	         $89.49	2018-2047
1501	         $89.49	2018-1799
1501	         $89.49	2018-54
1507	          $8.23	2018-1746
1520	          $2.80	2018-2422
1521	         $27.66	2018-2539
1551	      $1,425.26	2018-2601
1551	      $1,425.26	2018-77
1559	          $0.00	2018-2423
1559	          $0.00	2018-1727
1559	          $0.00	2018-1564
1570	          $0.00	2018-872
1570	          $0.00	2018-349
1574	          $0.00	2018-1599
1574	          $0.00	2018-716
1584	          $0.80	2018-2424
1598	         $25.56	2018-560
1609	          $4.42	2018-2156
1617	        $336.53	2018-2100
1618	        $203.92	2018-1357
1647	          $0.00	2018-1168
1647	          $0.00	2018-567
1659	          $0.00	2018-1967
1662	          $9.83	2018-1469
1667	          $0.00	2018-391
1676	          $0.00	2018-1046
1676	          $0.00	2018-72
1687	         $12.28	2018-722
1698	         $20.24	2018-2157
1698	         $20.24	2018-969
1733	         $13.61	2018-1128
1751	          $0.00	2018-1633
1751	          $0.00	2018-353
1751	          $0.00	2018-222
1753	      $1,549.66	2018-723
1760	         $85.74	2018-2428
1772	         $12.35	2018-1249
1775	        $547.26	2018-2430
1775	        $547.26	2018-2258
1784	         $16.41	2018-930
1788	          $4.07	2018-2238
1794	      $1,745.74	2018-526
1794	      $1,745.74	2018-259
1804	          $0.00	2018-1178
1815	          $0.00	2018-811
1826	          $9.52	2018-2431
1826	          $9.52	2018-1860
1827	          $8.88	2018-1573
1833	         $27.17	2018-521
1840	         $83.01	2018-62
1842	          $8.40	2018-1636
1845	          $0.00	2018-2230
1845	          $0.00	2018-2185
1845	          $0.00	2018-787
1869	          $9.77	2018-1572
1881	          $0.00	2018-1312
1889	      $3,012.74	2018-443
1890	          $0.00	2018-2595
1890	          $0.00	2018-2561
1896	          $0.00	2018-2456
1910	          $0.00	2018-1408
1910	          $0.00	2018-1235
1910	          $0.00	2018-475
1912	        $990.04	2018-2078
1912	        $990.04	2018-1740
1912	        $990.04	2018-1129
1912	        $990.04	2018-43
1912	        $990.04	2018-1
1917	          $0.00	2018-2545
1917	          $0.00	2018-693
1924	          $0.00	2018-762
1947	          $0.00	2018-2244
1947	          $0.00	2018-2111
1947	          $0.00	2018-1725
2133	          $8.76	2018-2448
2140	         $62.27	2018-1758
2150	      $1,351.55	2018-2590
2150	      $1,351.55	2018-81
2159	         $10.56	2018-1399
2162	          $0.00	2018-643
2168	          $0.00	2018-115
2187	        $-21.50	2018-45
2199	          $0.00	2018-1578
2199	          $0.00	2018-1544
2203	          $0.00	2018-1330
2255	          $2.80	2018-2353
2267	          $0.00	2018-619
2284	          $0.00	2018-87
2284	          $0.00	2018-86
2285	          $0.00	2018-781
2357	          $0.00	2018-1648
2364	         $32.96	2018-2167
2365	         $34.08	2018-2498
2365	         $34.08	2018-1151
2365	         $34.08	2018-791
2369	         $36.32	2018-1691
2369	         $36.32	2018-432
2371	        $137.91	2018-2644
2371	        $137.91	2018-596
2380	          $3.73	2018-2277
2387	          $0.00	2018-2038
2387	          $0.00	2018-1444
2396	          $3.08	2018-2387
2411	          $0.00	2018-2465
2411	          $0.00	2018-2394
2411	          $0.00	2018-2393
2411	          $0.00	2018-2009
2423	         $43.62	2018-1993
2447	          $0.00	2018-1542
2456	          $0.00	2018-2578
2456	          $0.00	2018-2325
2456	          $0.00	2018-1561
2479	          $0.00	2018-2241
2479	          $0.00	2018-1777
2493	          $0.00	2018-234
2500	         $82.80	2018-383
2500	         $82.80	2018-135
2530	          $0.00	2018-1177
2538	         $10.85	2018-1467
2580	        $222.50	2580-2018
2628	         $69.89	2018-1007
2634	          $0.00	2018-668
2663	          $0.00	2018-610
2664	         $15.29	2018-1008
2669	         $10.90	2018-1457
2686	         $16.16	2018-855
2705	          $8.75	2018-1694
2711	         $12.94	2018-1189
2718	          $0.00	2018-839
2734	         $33.15	2018-988
2791	        $900.97	2018-573
2792	          $0.00	2018-1442
2792	          $0.00	2018-338
2795	          $0.00	2018-2172
2795	          $0.00	2018-1949
2804	          $0.00	2018-2383
2816	        $235.77	2018-2097
2816	        $235.77	2018-1640
2816	        $235.77	2018-689
2822	        $101.14	2018-1655
2822	        $101.14	2018-33
2835	          $7.56	2018-1733
2842	         $67.42	2018-1043
2842	         $67.42	2018-808
2842	         $67.42	2018-295
2847	         $82.60	2018-772
2862	        $141.54	2018-2059
2862	        $141.54	2018-1558
2862	        $141.54	2018-1276
2880	          $0.00	2018-1868
2880	          $0.00	2018-1776
2901	         $16.70	2018-2482
2901	         $16.70	2018-1083
2902	          $0.00	2018-2584
2902	          $0.00	2018-2226
2902	          $0.00	2018-1736
2902	          $0.00	2018-737
2913	         $18.98	2018-764
2914	         $19.86	2018-708
2917	         $16.86	2018-901
2938	         $41.02	2018-2270
2939	          $0.00	2018-786
2943	          $0.00	2018-457
2946	          $0.00	2018-8
2948	        $166.83	2018-1795
2948	        $166.83	2018-1748
2948	        $166.83	2018-1615
2948	        $166.83	2018-544
2967	         $24.49	2018-1383
2967	         $24.49	2018-1320
2977	         $73.08	2018-66
3013	          $0.00	2018-2504
3013	          $0.00	2018-579
3028	         $51.21	2018-1931
3061	         $61.60	2018-2568
3061	         $61.60	2018-731
3061	         $61.60	2018-697
3061	         $61.60	2018-663
3065	         $22.37	2018-586
3087	          $0.00	2018-400
3097	          $0.00	2018-2366
3112	          $0.00	2018-92
3116	          $0.00	2018-2372
3133	          $0.00	2018-1233
3137	         $71.79	2018-2132
3137	         $71.79	2018-99
3152	         $25.87	2018-2322
3152	         $25.87	2018-670
3172	          $0.00	2018-2399
3194	         $46.96	2018-2434
3212	      $1,833.08	2018-501
3215	          $0.00	2018-100
3216	          $0.00	2018-1515
3219	        $119.62	2018-1747
3223	         $71.12	2018-1164
3223	         $71.12	2018-137
3225	         $98.57	2018-2237
3225	         $98.57	2018-28
3247	         $25.09	2018-2070
3249	          $0.00	2018-1634
3256	          $0.00	2018-2503
3256	          $0.00	2018-1487
3256	          $0.00	2018-1110
